Station,Lines,Transfers,Location,Opened,Structure
O'Hare,Blue,O'Hare: ATS Airport Transit System,O'Hare,"September 3, 1984[12]",Underground
Rosemont,Blue,—,Rosemont,"February 27, 1983[13]",Expressway median
Cumberland,Blue,—,O'Hare,"February 27, 1983[13]",Expressway median
Harlem,Blue,—,Norwood Park,"February 27, 1983[13]",Expressway median
Jefferson Park,Blue,Metra: UP-NW,Jefferson Park,"February 1, 1970[14]",Expressway median
Montrose,Blue,Metra: MD-N (at Mayfair),Irving Park,"February 1, 1970[14]",Expressway median
Irving Park,Blue,Metra: UP-NW (at Irving Park),Irving Park,"February 1, 1970[14]",Expressway median
Addison,Blue,—,Avondale / Irving Park,"February 1, 1970[14]",Expressway median
Belmont,Blue,—,Avondale,"February 1, 1970[14]",Underground
Logan Square,Blue,—,Logan Square,"May 25, 1895[15]",Underground
California,Blue,—,Logan Square,"May 25, 1895",Elevated
Western,Blue,—,Logan Square,"May 25, 1895",Elevated
Damen,Blue,—,Wicker Park,"May 6, 1895[16]",Elevated
Division,Blue,—,Wicker Park / Noble Square,"February 25, 1951[17][18]",Underground
Chicago,Blue,—,West Town,"February 25, 1951[17][18]",Underground
Grand,Blue,—,West Town,"February 25, 1951[17][18]",Underground
Clark/Lake[b]  Ⓣ,Blue,Brown Green Orange Pink Purple,The Loop,"February 25, 1951[17][18]",Underground
Washington Ⓣ,Blue,Red (at Lake),The Loop,"February 25, 1951[17][18]",Underground
Monroe,Blue,—,The Loop,"February 25, 1951[17][18]",Underground
Jackson  Ⓣ,Blue,Red (at Jackson) Brown Orange  Pink Purple (at Library),The Loop,"February 25, 1951[17][18]",Underground
LaSalle,Blue,Metra: RI (at LaSalle Street),The Loop,"February 25, 1951[17][18]",Underground
Clinton,Blue,Metra: MD-N MD-W NCS BNSF HC SWS (at Union Station),Near West Side,"June 22, 1958[19][20]",Underground
UIC–Halsted,Blue,—,Greektown,"June 22, 1958[19][20]",Expressway median
Racine,Blue,—,Near West Side,"June 22, 1958[19][20]",Expressway median
Illinois Medical District,Blue,—,Near West Side,"June 22, 1958[19][20]",Expressway median
Western,Blue,—,Near West Side,"June 22, 1958[19][20]",Expressway median
Kedzie–Homan,Blue,—,East Garfield Park,"June 22, 1958[19][20]",Expressway median
Pulaski,Blue,—,West Garfield Park,"June 22, 1958[19][20]",Expressway median
Cicero,Blue,—,Austin,"June 22, 1958[19][20]",Expressway median
Austin,Blue,—,Oak Park,"March 20, 1960[21][22]",Expressway median
Oak Park,Blue,—,Oak Park,"March 20, 1960[21][22]",Expressway median
Harlem,Blue,—,Forest Park,"March 20, 1960[21][22]",Expressway median
Forest Park,Blue,—,Forest Park,"March 11, 1905[23] [c]",Elevated
Kimball,Brown,—,Albany Park,"December 14, 1907[24]",At-grade
Kedzie,Brown,—,Albany Park,"December 14, 1907[24]",At-grade
Francisco,Brown,—,Albany Park,"December 14, 1907",At-grade
Rockwell,Brown,—,Lincoln Square,"December 14, 1907",At-grade
Western,Brown,—,Lincoln Square,"May 18, 1907[25]",Elevated
Damen,Brown,Metra: UP-N (at Ravenswood),Ravenswood,"May 18, 1907[25]",Elevated
Montrose,Brown,—,Ravenswood,"May 18, 1907[25]",Elevated
Irving Park,Brown,—,North Center,"May 18, 1907[25]",Elevated
Addison,Brown,—,North Center,"May 18, 1907[25]",Elevated
Paulina,Brown,—,Roscoe Village,"May 18, 1907[25]",Elevated
Southport,Brown,—,Lake View,"May 18, 1907[25]",Elevated
Belmont  Ⓣ,Brown Purple Red,—,Lake View,"May 31, 1900[5]",Elevated
Wellington,Brown Purple,—,Lake View,"May 31, 1900",Elevated
Diversey,Brown Purple,—,Lincoln Park,"June 9, 1900[26]",Elevated
Fullerton  Ⓣ,Brown Purple Red,—,Lincoln Park,"May 31, 1900[5]",Elevated
Armitage,Brown Purple,—,Lincoln Park,"June 9, 1900[26]",Elevated
