the_geom,OBJECTID,Name,Stacked,AnnoLine1,AnnoLine2,AnnoLine3,AnnoAngle,Borough
POINT (-73.8472005205491 40.89470517661004),1,Wakefield,1,Wakefield,,,0,Bronx
POINT (-73.82993910812405 40.87429419303015),2,Co-op City,2,Co-op,City,,0,Bronx
POINT (-73.82780644716419 40.88755567735082),3,Eastchester,1,Eastchester,,,0,Bronx
POINT (-73.90564259591689 40.895437426903875),4,Fieldston,1,Fieldston,,,0,Bronx
POINT (-73.91258546108577 40.89083449389134),5,Riverdale,1,Riverdale,,,0,Bronx
POINT (-73.90281798724611 40.88168737120525),6,Kingsbridge,1,Kingsbridge,,,0,Bronx
POINT (-73.91065965862988 40.87655077879968),7,Marble Hill,2,Marble,Hill,,0,Manhattan
POINT (-73.86731496814183 40.898272612138086),8,Woodlawn,1,Woodlawn,,,0,Bronx
POINT (-73.87939073956817 40.877224155994504),9,Norwood,1,Norwood,,,0,Bronx
POINT (-73.85744642974214 40.88103887819214),10,Williamsbridge,1,Williamsbridge,,,0,Bronx
POINT (-73.83579759808124 40.86685810725274),11,Baychester,1,Baychester,,,0,Bronx
POINT (-73.85475564018006 40.85741349808869),12,Pelham Parkway,1,Pelham Parkway,,,0,Bronx
POINT (-73.7864884526742 40.84724670491817),13,City Island,2,City,Island,,0,Bronx
POINT (-73.88551218419137 40.87018516497537),14,Bedford Park,2,Bedford,Park,,0,Bronx
POINT (-73.91041596191317 40.85572707719668),15,University Heights,2,University,Heights,,0,Bronx
POINT (-73.91967159119572 40.84789792606274),16,Morris Heights,2,Morris,Heights,,0,Bronx
POINT (-73.8964265598163 40.86099679638657),17,Fordham,1,Fordham,,,0,Bronx
POINT (-73.88735617532345 40.84269615786057),18,East Tremont,2,East,Tremont,,0,Bronx
POINT (-73.87774474910552 40.83947505672657),19,West Farms,2,West,Farms,,0,Bronx
POINT (-73.92610209358138 40.8366230107061),20,High  Bridge,2,High,Bridge,,0,Bronx
POINT (-73.90942160757443 40.81975437059498),21,Melrose,1,Melrose,,,0,Bronx
POINT (-73.91609987487583 40.80623874935181),22,Mott Haven,1,Mott Haven,,,0,Bronx
