,Community,Community Latitude,Community Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Rogers Park,42.0105314,-87.6707482,Lifeline Theatre,42.007372355621,-87.66628355736664,Theater
1,Rogers Park,42.0105314,-87.6707482,Mayne Stage,42.00797479563167,-87.66513999294418,Concert Hall
2,Rogers Park,42.0105314,-87.6707482,Leather Archives & Museum,41.99860778320516,-87.66790247778829,History Museum
3,Rogers Park,42.0105314,-87.6707482,New 400 Theaters,42.004663949716374,-87.66129461387361,Movie Theater
4,Rogers Park,42.0105314,-87.6707482,Raven Theatre Complex,41.994322549093766,-87.66993099228452,Theater
5,Rogers Park,42.0105314,-87.6707482,Firehouse Chicago,41.996224837186276,-87.66983306863352,Arts & Entertainment
6,Rogers Park,42.0105314,-87.6707482,The Side Project,42.01599394647882,-87.66795428168271,Indie Theater
7,Rogers Park,42.0105314,-87.6707482,Heartland Studio,42.009582938359124,-87.66622838845129,Theater
8,Rogers Park,42.0105314,-87.6707482,The Cuckoo's Theatre Project,42.011233,-87.670014,Theater
9,Rogers Park,42.0105314,-87.6707482,Rogers Park / West Ridge Historical Society,42.007834099060474,-87.66782280319724,History Museum
10,Rogers Park,42.0105314,-87.6707482,No Exit Cafe,42.008766909890035,-87.66630175468904,Performing Arts Venue
11,Rogers Park,42.0105314,-87.6707482,Theo Ubique Cabaret Theatre at The No Exit Cafe,42.00872062817624,-87.6662806733721,Indie Theater
12,Rogers Park,42.0105314,-87.6707482,Northside Dance Theater,42.00968843974043,-87.66571632340289,Dance Studio
13,Rogers Park,42.0105314,-87.6707482,Glenwood Dance Studio,42.009464,-87.66560799999999,Dance Studio
14,Rogers Park,42.0105314,-87.6707482,Greenleaf Art Center,42.01031110064409,-87.67609213197031,Art Gallery
15,Rogers Park,42.0105314,-87.6707482,Frank Lloyd Wright's Emil Bach House,42.016599,-87.664852,History Museum
16,Rogers Park,42.0105314,-87.6707482,Howard Theater,42.019201,-87.672392,Movie Theater
17,Rogers Park,42.0105314,-87.6707482,Factory Theater,42.01942104046,-87.67230768269086,Theater
18,Rogers Park,42.0105314,-87.6707482,Theo Ubique Cabaret Theatre,42.019681,-87.68153,Theater
19,Rogers Park,42.0105314,-87.6707482,Blue Video Rental and Sales,41.997952000000005,-87.66713,Movie Theater
20,Rogers Park,42.0105314,-87.6707482,Newhart Family Theatre,41.998806402840685,-87.65676714660668,Theater
21,Rogers Park,42.0105314,-87.6707482,the raven theater,41.993126000000004,-87.670456,Theater
22,West Ridge,42.003548200000004,-87.69624259999999,Academy Of Music And Dance NFP,41.997437,-87.703062,Dance Studio
23,West Ridge,42.003548200000004,-87.69624259999999,Orot Dance Studio,42.019173,-87.69992,Dance Studio
24,West Ridge,42.003548200000004,-87.69624259999999,Greenleaf Art Center,42.01031110064409,-87.67609213197031,Art Gallery
25,West Ridge,42.003548200000004,-87.69624259999999,Amundson Mysteries- Murder Mystery Dinners,41.996179033355865,-87.7183198928833,Theater
26,Uptown,41.9666299,-87.6555458,Green Mill Cocktail Lounge,41.96909292878826,-87.659865028545,Jazz Club
27,Uptown,41.9666299,-87.6555458,Aragon Ballroom,41.969384971806306,-87.65806812729136,Music Venue
28,Uptown,41.9666299,-87.6555458,The Black Ensemble Theater Cultural Center,41.963091584392295,-87.66628790806404,Theater
29,Uptown,41.9666299,-87.6555458,Riviera Theatre,41.96888252824764,-87.66023645425838,Music Venue
30,Uptown,41.9666299,-87.6555458,Chicago Magic Lounge,41.974014,-87.66833,Theater
31,Uptown,41.9666299,-87.6555458,Preston Bradley Center,41.96906639121693,-87.6538177018492,Concert Hall
32,Uptown,41.9666299,-87.6555458,Neo-Futurists,41.975942895501625,-87.66935550462426,Indie Theater
33,Uptown,41.9666299,-87.6555458,Lillstreet Art Center,41.96169438072675,-87.67374593345563,Art Gallery
34,Uptown,41.9666299,-87.6555458,Swedish American Museum,41.97665865225067,-87.66832150277882,Museum
35,Uptown,41.9666299,-87.6555458,Metro,41.949852030486944,-87.65885156354419,Music Venue
36,Uptown,41.9666299,-87.6555458,Music Box Theatre,41.949860830176604,-87.66391971748097,Indie Movie Theater
37,Uptown,41.9666299,-87.6555458,Chemically Imbalanced Comedy,41.954339094238904,-87.66516884774151,Comedy Club
38,Uptown,41.9666299,-87.6555458,Steep Theatre Company,41.97809759096984,-87.65846332975289,Theater
39,Uptown,41.9666299,-87.6555458,Mercury Theater Chicago,41.95020636165722,-87.66388507795332,Theater
40,Uptown,41.9666299,-87.6555458,Pride Arts Center,41.95810444653308,-87.6525221769653,Theater
41,Uptown,41.9666299,-87.6555458,Puppet Bike,41.978077884200516,-87.66822596344969,Performing Arts Venue
42,Uptown,41.9666299,-87.6555458,Harry Caray Statue by Omri Amrany & Lou Cella,41.94894011325319,-87.65445783734322,Outdoor Sculpture
43,Uptown,41.9666299,-87.6555458,Chicago Filmmakers,41.97745867048845,-87.66816851857399,Indie Movie Theater
44,Uptown,41.9666299,-87.6555458,City Lit Theater,41.983738406362725,-87.65617253480028,Theater
45,Uptown,41.9666299,-87.6555458,National Jazz Museum,41.967024,-87.653667,Museum
46,Uptown,41.9666299,-87.6555458,Texture Dance Studio,41.967397,-87.65658499999999,Dance Studio
47,Uptown,41.9666299,-87.6555458,People's Music School,41.966144,-87.653725,Concert Hall
48,Uptown,41.9666299,-87.6555458,National Pastime Theater - Great Hall,41.96908619773964,-87.6539684780679,Theater
49,Uptown,41.9666299,-87.6555458,Bye Bye Liver,41.952982122244116,-87.66130318524644,Comedy Club
50,Uptown,41.9666299,-87.6555458,The Kinetic Playground,41.969018941138835,-87.65817047158079,Music Venue
51,Uptown,41.9666299,-87.6555458,The Haitian-American Museum of Chicago,41.966984000000004,-87.660044,History Museum
52,Uptown,41.9666299,-87.6555458,About Face Theatre Admin Office,41.965468838827334,-87.66070634000667,Theater
53,Uptown,41.9666299,-87.6555458,Uptown Theatre,41.969547,-87.660055,Theater
54,Uptown,41.9666299,-87.6555458,Real Deep Records,41.96193934475723,-87.65460133552551,Music Venue
55,Uptown,41.9666299,-87.6555458,Clarendon Park Model Railroad,41.96342838169646,-87.64961323703723,Museum
56,Uptown,41.9666299,-87.6555458,Podcast Studio,41.97313757907655,-87.65572679825412,Music Venue
57,Uptown,41.9666299,-87.6555458,Pegasus Players Hull House,41.96417124010225,-87.66394801943683,Theater
58,Uptown,41.9666299,-87.6555458,Pride Films and Plays,41.959841376013564,-87.6550279139883,Theater
59,Uptown,41.9666299,-87.6555458,Pride Films and Plays Rehearsal Space,41.965295,-87.666143,Theater
60,Uptown,41.9666299,-87.6555458,Pride Films & Plays,41.9654029109807,-87.6662885538331,Theater
61,Uptown,41.9666299,-87.6555458,The Understudy,41.96629,-87.667016,Indie Theater
62,Uptown,41.9666299,-87.6555458,Profiles Theatre Main Stage,41.95795924621432,-87.65276822300905,Theater
63,Uptown,41.9666299,-87.6555458,Camp Belle Plaine,41.956939378148896,-87.65282061632651,Dance Studio
64,Uptown,41.9666299,-87.6555458,CCLaP's Studio 505,41.957526,-87.65031,Indie Theater
65,Uptown,41.9666299,-87.6555458,Eagle Leather Head 2 Toe Tattooing and Body Pierci,41.972749,-87.667969,Art Gallery
66,Uptown,41.9666299,-87.6555458,GE Wonderground - Graceland Cemetery,41.954446777547226,-87.66219976409495,Science Museum
67,Uptown,41.9666299,-87.6555458,The Crowd Theater,41.95391779121966,-87.64982520883937,Comedy Club
68,Uptown,41.9666299,-87.6555458,Las Manos Gallery,41.97683442187747,-87.66828940573976,Art Gallery
69,Uptown,41.9666299,-87.6555458,Barrel Of Monkeys Office,41.975985697777084,-87.66941871029438,Theater
70,Uptown,41.9666299,-87.6555458,The Artistic Home,41.95310754498945,-87.66135691731711,Indie Theater
71,Uptown,41.9666299,-87.6555458,Live Bait Theatre,41.953043454036745,-87.66133765206573,Theater
72,Uptown,41.9666299,-87.6555458,Pimprov,41.9543366383498,-87.66535909674377,Comedy Club
73,Uptown,41.9666299,-87.6555458,Otherworld Theatre Company,41.952971179666925,-87.6613175439216,Theater
74,Uptown,41.9666299,-87.6555458,Gus Giordano Dance School,41.97718503058287,-87.66886035413941,Dance Studio
75,Uptown,41.9666299,-87.6555458,Mary Arrchie Theatre,41.952708910004745,-87.64933103328276,Theater
76,Uptown,41.9666299,-87.6555458,Barrel of Monkeys,41.962585547016964,-87.6747179031372,Theater
77,Uptown,41.9666299,-87.6555458,Angel Island Theatre,41.95253276994822,-87.64933347702026,Theater
78,Uptown,41.9666299,-87.6555458,Blackbird Gallery & Framing,41.962286999999996,-87.67490699999999,Art Gallery
79,Uptown,41.9666299,-87.6555458,Improv Resource Center,41.9619,-87.674861,Theater
80,Uptown,41.9666299,-87.6555458,Edge Theater,41.98156131183922,-87.65969737292323,Theater
81,Uptown,41.9666299,-87.6555458,Edge Theatre Off Broadway,41.981647,-87.659189,Theater
82,Uptown,41.9666299,-87.6555458,Chicago Glass Studio,41.958075,-87.67317,Public Art
83,Uptown,41.9666299,-87.6555458,The Hypocrites,41.958242999999996,-87.673467,Theater
84,Uptown,41.9666299,-87.6555458,Ravenswood ArtWalk Detour,41.95768479463877,-87.67347724006542,Public Art
85,Uptown,41.9666299,-87.6555458,Metro Chicago,41.9498364,-87.6589652,Music Venue
86,Uptown,41.9666299,-87.6555458,Wax Trax Retrospectacle,41.949809,-87.658932,Concert Hall
87,Uptown,41.9666299,-87.6555458,Redtwist Theatre,41.98370016094636,-87.65702569125423,Theater
88,Uptown,41.9666299,-87.6555458,Edgewater Historical Society,41.98007711612088,-87.66993158346676,History Museum
89,Uptown,41.9666299,-87.6555458,Merry Musicmakers,41.98103713989258,-87.66861724853516,Music Venue
90,Uptown,41.9666299,-87.6555458,Ballroom Dance Chicago,41.95546562710652,-87.67368361001134,Dance Studio
91,Uptown,41.9666299,-87.6555458,Venus Cabaret,41.950102,-87.663915,Music Venue
92,Uptown,41.9666299,-87.6555458,The Ashby Theatre,41.952065999999995,-87.669379,Movie Theater
93,Uptown,41.9666299,-87.6555458,Eclipse Rehearsal Space,41.954478,-87.673338,Theater
94,Uptown,41.9666299,-87.6555458,Studio L'amour,41.9546600391843,-87.67358870771739,Dance Studio
95,Uptown,41.9666299,-87.6555458,Nox Arca Theatre,41.95448558898817,-87.67339242016841,Theater
96,Lincoln Square,41.9759898,-87.6896163,Sacred Art,41.96541895501795,-87.68648247287156,Art Gallery
97,Lincoln Square,41.9759898,-87.6896163,Neo-Futurists,41.975942895501625,-87.66935550462426,Indie Theater
98,Lincoln Square,41.9759898,-87.6896163,Chicago Magic Lounge,41.974014,-87.66833,Theater
99,Lincoln Square,41.9759898,-87.6896163,Chicago Printmakers Collaborative,41.970855,-87.689394,Art Gallery
100,Lincoln Square,41.9759898,-87.6896163,Swedish American Museum,41.97665865225067,-87.66832150277882,Museum
101,Lincoln Square,41.9759898,-87.6896163,DANK Haus German American Cultural Center,41.968237868564636,-87.68898092519984,Museum
102,Lincoln Square,41.9759898,-87.6896163,Davis Theater,41.965296175955885,-87.68678308152758,Movie Theater
103,Lincoln Square,41.9759898,-87.6896163,Puppet Bike,41.978077884200516,-87.66822596344969,Performing Arts Venue
104,Lincoln Square,41.9759898,-87.6896163,Quest Theatre Ensemble,41.982461119444146,-87.6702565926145,Theater
105,Lincoln Square,41.9759898,-87.6896163,Chicago Filmmakers,41.97745867048845,-87.66816851857399,Indie Movie Theater
106,Lincoln Square,41.9759898,-87.6896163,Brain Surgeon Theater,41.97278274000001,-87.69124417999998,Theater
107,Lincoln Square,41.9759898,-87.6896163,Everlasting Fire Studio,41.972547,-87.691323,Art Gallery
108,Lincoln Square,41.9759898,-87.6896163,Kentalago Productions,41.976271000000004,-87.681686,Multiplex
109,Lincoln Square,41.9759898,-87.6896163,Lincoln Square Theatre,41.96805330038968,-87.68431530671747,Theater
110,Lincoln Square,41.9759898,-87.6896163,John Batdorff Photography,41.97618368889594,-87.67669755092622,Art Gallery
111,Lincoln Square,41.9759898,-87.6896163,National Cambodian Heritage Museum & Killing Fields Memorial,41.968325,-87.69990899999999,Museum
112,Lincoln Square,41.9759898,-87.6896163,Red Tape,41.964655,-87.68914699999999,Theater
113,Lincoln Square,41.9759898,-87.6896163,Theatre Y,41.964003,-87.688959,Theater
114,Lincoln Square,41.9759898,-87.6896163,Shakespeare in the Park,41.963009,-87.687474,Theater
115,Lincoln Square,41.9759898,-87.6896163,The Foxhole,41.961533,-87.690478,Performing Arts Venue
116,Lincoln Square,41.9759898,-87.6896163,Le Ballet Petit School of Dance,41.96523828829799,-87.70365271065748,Dance Studio
117,Lincoln Square,41.9759898,-87.6896163,Barrel Of Monkeys Office,41.975985697777084,-87.66941871029438,Theater
118,Lincoln Square,41.9759898,-87.6896163,The Theatre - North Park University,41.97478963330098,-87.70982174209502,Theater
119,Lincoln Square,41.9759898,-87.6896163,Lake Shore Symphony Rehersal,41.981825595394916,-87.70841685440283,Music Venue
120,Lincoln Square,41.9759898,-87.6896163,Edgewater Historical Society,41.98007711612088,-87.66993158346676,History Museum
121,Lincoln Square,41.9759898,-87.6896163,Gus Giordano Dance School,41.97718503058287,-87.66886035413941,Dance Studio
122,Lincoln Square,41.9759898,-87.6896163,Learn Guitar Chicago,41.960613,-87.693424,Music Venue
123,Lincoln Square,41.9759898,-87.6896163,Las Manos Gallery,41.97683442187747,-87.66828940573976,Art Gallery
124,Lincoln Square,41.9759898,-87.6896163,The Blue Theater,41.98262463175571,-87.66995322320929,Theater
125,Lincoln Square,41.9759898,-87.6896163,Mad Attic Recording Studio,41.961313,-87.680516,Music Venue
126,Lincoln Square,41.9759898,-87.6896163,Merry Musicmakers,41.98103713989258,-87.66861724853516,Music Venue
127,Lincoln Square,41.9759898,-87.6896163,Eagle Leather Head 2 Toe Tattooing and Body Pierci,41.972749,-87.667969,Art Gallery
128,Lincoln Square,41.9759898,-87.6896163,The Hypocrites,41.964197,-87.67365699999999,Theater
129,Lincoln Square,41.9759898,-87.6896163,Dovetail Studio,41.96120256302773,-87.70175266859374,Dance Studio
130,Lincoln Square,41.9759898,-87.6896163,Barrel of Monkeys,41.962585547016964,-87.6747179031372,Theater
131,Lincoln Square,41.9759898,-87.6896163,Blackbird Gallery & Framing,41.962286999999996,-87.67490699999999,Art Gallery
132,Lincoln Square,41.9759898,-87.6896163,Improv Resource Center,41.9619,-87.674861,Theater
133,North Center,41.9561073,-87.67915959999999,Lillstreet Art Center,41.96169438072675,-87.67374593345563,Art Gallery
134,North Center,41.9561073,-87.67915959999999,Dance Center Chicago,41.95227647437918,-87.67768541675808,Dance Studio
135,North Center,41.9561073,-87.67915959999999,Music Box Theatre,41.949860830176604,-87.66391971748097,Indie Movie Theater
136,North Center,41.9561073,-87.67915959999999,Martyrs',41.951971394155905,-87.67708336856913,Music Venue
137,North Center,41.9561073,-87.67915959999999,Sacred Art,41.96541895501795,-87.68648247287156,Art Gallery
138,North Center,41.9561073,-87.67915959999999,Chemically Imbalanced Comedy,41.954339094238904,-87.66516884774151,Comedy Club
139,North Center,41.9561073,-87.67915959999999,Mercury Theater Chicago,41.95020636165722,-87.66388507795332,Theater
140,North Center,41.9561073,-87.67915959999999,The Black Ensemble Theater Cultural Center,41.963091584392295,-87.66628790806404,Theater
141,North Center,41.9561073,-87.67915959999999,Metro,41.949852030486944,-87.65885156354419,Music Venue
142,North Center,41.9561073,-87.67915959999999,Beat Kitchen,41.93961547075845,-87.68078086294797,Music Venue
143,North Center,41.9561073,-87.67915959999999,Davis Theater,41.965296175955885,-87.68678308152758,Movie Theater
144,North Center,41.9561073,-87.67915959999999,DANK Haus German American Cultural Center,41.968237868564636,-87.68898092519984,Museum
145,North Center,41.9561073,-87.67915959999999,Cornservatory,41.9580935204829,-87.68158181734654,Performing Arts Venue
146,North Center,41.9561073,-87.67915959999999,Zoo Studios,41.95432426583089,-87.67338347328773,Theater
147,North Center,41.9561073,-87.67915959999999,Chicago Printmakers Collaborative,41.970855,-87.689394,Art Gallery
148,North Center,41.9561073,-87.67915959999999,Perceptual Motion Dance Studio,41.955857,-87.678494,Dance Studio
149,North Center,41.9561073,-87.67915959999999,Silvie's Lounge,41.95431871204755,-87.67645401243416,Music Venue
150,North Center,41.9561073,-87.67915959999999,Bughouse Theater,41.954225029605766,-87.68098614328612,Comedy Club
151,North Center,41.9561073,-87.67915959999999,Bye Bye Liver,41.952982122244116,-87.66130318524644,Comedy Club
152,North Center,41.9561073,-87.67915959999999,Get on the Floor Dance Company,41.952169811047696,-87.67763314417451,Dance Studio
153,North Center,41.9561073,-87.67915959999999,Ballroom Dance Chicago,41.95546562710652,-87.67368361001134,Dance Studio
154,North Center,41.9561073,-87.67915959999999,The Right Brain Project,41.95437694029722,-87.67356944763686,Art Museum
155,North Center,41.9561073,-87.67915959999999,Ravenswood ArtWalk Detour,41.95768479463877,-87.67347724006542,Public Art
156,North Center,41.9561073,-87.67915959999999,Laugh Out Loud Theater Chicago,41.95182064150425,-87.67704067204373,Comedy Club
157,North Center,41.9561073,-87.67915959999999,Eclipse Rehearsal Space,41.954478,-87.673338,Theater
158,North Center,41.9561073,-87.67915959999999,The Hypocrites,41.958242999999996,-87.673467,Theater
159,North Center,41.9561073,-87.67915959999999,Chicago Glass Studio,41.958075,-87.67317,Public Art
160,North Center,41.9561073,-87.67915959999999,Rast Ballet Studio,41.95208239700806,-87.67475505421939,Dance Studio
161,North Center,41.9561073,-87.67915959999999,Pendulum Space,41.95204291796836,-87.6748000821615,Theater
162,North Center,41.9561073,-87.67915959999999,Mad Attic Recording Studio,41.961313,-87.680516,Music Venue
163,North Center,41.9561073,-87.67915959999999,Signal Ensemble Theatre,41.951759828264805,-87.67438415029237,Theater
164,North Center,41.9561073,-87.67915959999999,Strawdog Theater,41.95176,-87.67434200000001,Theater
165,North Center,41.9561073,-87.67915959999999,Improv Resource Center,41.9619,-87.674861,Theater
166,North Center,41.9561073,-87.67915959999999,Blackbird Gallery & Framing,41.962286999999996,-87.67490699999999,Art Gallery
167,North Center,41.9561073,-87.67915959999999,Barrel of Monkeys,41.962585547016964,-87.6747179031372,Theater
168,North Center,41.9561073,-87.67915959999999,The Ashby Theatre,41.952065999999995,-87.669379,Movie Theater
