,Community,Population,Income,latitude,longitude
0,Rogers Park,54991,39482,42.0105314,-87.6707482
1,West Ridge,71942,47323,42.0035482,-87.6962426
2,Uptown,56362,40324,41.9666299,-87.6555458
3,Lincoln Square,39493,57749,41.9759898,-87.6896163
4,North Center,31867,81524,41.9561073,-87.6791596
5,Lake View,94368,70746,41.94705,-87.6554288
6,Lincoln Park,64116,82707,41.9402976,-87.6381171
7,Near North Side,80484,76290,41.9000327,-87.6344975
8,Edison Park,11187,77678,42.0057335,-87.8140037
9,Norwood Park,37023,64477,41.9855895,-87.8005772
10,Jefferson Park,25448,60592,41.9697375,-87.7631179
11,Forest Glen,18508,87394,41.9917516,-87.751674
12,North Park,17931,53305,41.9849547,-87.7229344
13,Albany Park,51542,46198,41.9719367,-87.7161739
14,Portage Park,64124,52356,41.9578093,-87.7650594
15,Irving Park,53359,54048,41.953365,-87.7364471
16,Dunning,41932,61584,41.952809,-87.7964493
17,Montclare,13426,47460,41.9253091,-87.8008931
18,Belmont Cragin,78743,42842,41.9316983,-87.7686699
19,Hermosa,25010,42418,41.928643,-87.7345019
20,Avondale,39262,46519,41.9389208,-87.711168
21,Logan Square,72791,49610,41.925221,-87.7013096
22,Humboldt Park,56323,29605,41.900828,-87.7239591
23,West Town,82236,60720,41.9014213,-87.6861661
24,Austin,98514,32358,41.8878759,-87.7648508
25,West Garfield Park,18001,23033,41.8805878,-87.7292227
26,East Garfield Park,20567,24488,41.8808657,-87.7028328
27,Near West Side,54881,62770,41.8800656,-87.6667624
28,North Lawndale,35912,25797,41.8581513,-87.7138812
29,South Lawndale,79288,33593,41.8382149,-87.7132729
30,Lower West Side,35769,34573,41.8541996,-87.6656086
31,Loop,29283,78124,41.8816094,-87.6294574
32,Near South Side,21390,75995,41.8566999,-87.6247738
33,Armour Square,13391,27619,41.8400333,-87.633107
34,Douglas,18238,32805,41.8348565,-87.6179536
35,Oakland,5918,20800,41.8240015,-87.6051021
36,Fuller Park,2876,15086,41.8180891,-87.6325508
37,Grand Boulevard,21929,28040,41.8139226,-87.6172724
38,Kenwood,17841,39371,41.8091444,-87.5979908
39,Washington Park,11717,21899,41.7925338,-87.6181052
40,Hyde Park,25681,45335,41.7942253,-87.5925622
41,Woodlawn,23740,27413,41.7794786,-87.599493
42,South Shore,52010,27903,41.7626438,-87.5751786
43,Chatham,31028,32057,41.7411454,-87.6125481
44,Avalon Park,10185,46903,41.7450346,-87.5886584
45,South Chicago,31198,31164,41.7345874,-87.5513222
46,Burnside,2916,32553,41.7300345,-87.596714
47,Calumet Heights,13812,55669,41.7300347,-87.5792134
48,Roseland,44619,40142,41.7019787,-87.625881
49,Pullman,7325,40059,41.704124,-87.5982987
50,South Deering,15109,38594,41.6922364,-87.5717033
51,East Side,23042,41196,41.7080202,-87.5348269
52,West Pullman,29651,39601,41.6750456,-87.637823
53,Riverdale,6482,13380,41.6658087,-87.6053444
54,Hegewisch,9426,49924,41.6536462,-87.5469885
55,Garfield Ridge,34513,61206,41.8036171,-87.7454886
56,Archer Heights,13393,42571,41.8114215,-87.7261651
57,Brighton Park,45368,39289,41.8189217,-87.6989421
58,McKinley Park,15612,42327,41.8316997,-87.6736638
59,Bridgeport,31977,42382,41.8379385,-87.651028
60,New City,44377,32222,41.8075333,-87.6564403
61,West Elsdon,18109,51003,41.7939217,-87.7244978
62,Gage Park,39894,38855,41.795033,-87.6961636
63,Clearing,23139,54123,41.780588,-87.7733881
64,West Lawn,33355,46891,41.7728107,-87.722275
65,Chicago Lawn,55628,37779,41.7750332,-87.6964408
66,West Englewood,35505,26654,41.7780891,-87.6667177
67,Englewood,30654,19743,41.7797559,-87.6458836
68,Greater Grand Crossing,32602,29663,41.7668861,-87.6208446
69,Ashburn,41081,62238,41.7475332,-87.7111628
70,Auburn Gresham,48743,34767,41.7433872,-87.6560416
71,Beverly,20034,83092,41.7181532,-87.6717674
72,Washington Heights,26493,42053,41.7064229,-87.65616
73,Mount Greenwood,19093,80505,41.6980891,-87.7086616
74,Morgan Park,22544,56886,41.6903117,-87.6667156
75,O'Hare,12756,49601,41.973101,-87.9067679
76,Edgewater,56521,43331,41.9833689,-87.6639516
