,Neighborhood,Community area,latitude,longitude
0,Albany Park,Albany Park,41.9719367,-87.7161739
1,Altgeld Gardens,Riverdale,41.6548637,-87.6004462
2,Andersonville,Edgewater,41.9771393,-87.6692734
3,Archer Heights,Archer Heights,41.8114215,-87.7261651
4,Armour Square,Armour Square,41.8400333,-87.633107
5,Ashburn,Ashburn,41.7475332,-87.7111628
6,Ashburn Estates,Ashburn,41.88531,-87.62213
7,Auburn Gresham,Auburn Gresham,41.7433872,-87.6560416
8,Avalon Park,Avalon Park,41.7450346,-87.5886584
9,Avondale,Avondale,41.9389208,-87.711168
10,Avondale Gardens,Irving Park,41.9389208,-87.711168
11,Back of the Yards,New City,41.8075332,-87.6661628
12,Belmont Central,Belmont Cragin,41.9397964,-87.6533276
13,Belmont Gardens,Hermosa,41.9397964,-87.6533276
14,Belmont Heights,Dunning,41.940104,-87.640367
15,Belmont Terrace,Dunning,41.9397964,-87.6533276
16,Beverly,Beverly,41.7181532,-87.6717674
17,Beverly View,Ashburn,41.7181532,-87.6717674
18,Beverly Woods,Morgan Park,41.6833861,-87.6812436
19,Big Oaks,Norwood Park,41.88531,-87.62213
20,Boystown,Lake View,41.9438833,-87.6492669
21,Bowmanville,Lincoln Square,41.9721331,-87.6937374
22,Brainerd,Washington Heights,41.7328116,-87.6583828
23,Brickyard,Belmont Cragin,41.9294438,-87.7881309
24,Bridgeport,Bridgeport,41.8379385,-87.651028
25,Brighton Park,Brighton Park,41.8189217,-87.6989421
26,Bronzeville,Douglas,41.8308667,-87.6264399
27,Bucktown,Logan Square,41.9162108,-87.6701232
28,Budlong Woods,Lincoln Square,41.9833682,-87.6963394
29,Buena Park,Uptown,41.9578099,-87.6528331
30,Burnside,Burnside,41.7300345,-87.596714
31,Cabrini–Green,Near North Side,41.8988049,-87.6409372
32,Calumet Heights,Calumet Heights,41.7300347,-87.5792134
33,Canaryville,New City,41.8147556,-87.6403288
34,Central Station,Near South Side,41.8873357,-87.7653497
35,Chatham,Chatham,41.7411454,-87.6125481
36,Chicago Lawn,Chicago Lawn,41.7750332,-87.6964408
37,Chinatown,Armour Square,41.8516579,-87.6331383
38,Chrysler Village,Clearing,42.0336927,-88.2517337
39,Clarendon Park,Uptown,41.9632746,-87.6488576
40,Clearing East,Clearing,41.780588,-87.7733881
41,Clearing West,Clearing,41.7786767,-87.7692016
42,Cottage Grove Heights,Pullman,41.823965,-87.606872
43,Cragin,Belmont Cragin,41.9203096,-87.7561691
44,Crestline,Ashburn,41.7442705,-87.7258555
45,Dearborn Homes,Douglas,41.8407367,-87.6282486
46,Dearborn Park,Near South Side,41.8665526,-87.6289539
47,Douglas Park,North Lawndale,41.8600662,-87.6993547
48,Dunning,Dunning,41.952809,-87.7964493
49,East Beverly,Beverly,41.7181532,-87.6717674
50,East Chatham,Chatham,41.7411454,-87.6125481
51,East Garfield Park,East Garfield Park,41.8808657,-87.7028328
52,East Hyde Park,Hyde Park,41.7942253,-87.5925622
53,East Pilsen,Lower West Side,41.8560101,-87.656306
54,East Side,East Side,41.7080202,-87.5348269
55,East Village,West Town,41.9328723,-87.6736739
56,Eden Green,Riverdale,41.8854222,-87.6712386
57,Edgebrook,Forest Glen,41.9996772,-87.7641002
58,Edgewater,Edgewater,41.9833689,-87.6639516
59,Edgewater Beach,Edgewater,41.9833689,-87.6639516
60,Edgewater Glen,Edgewater,41.9923905,-87.664046
61,Edison Park,Edison Park,42.0057335,-87.8140037
62,Englewood,Englewood,41.7797559,-87.6458836
63,Fernwood,Roseland,41.7039754,-87.6391008
64,Fifth City,East Garfield Park,41.9106983,-87.6498098
65,Ford City,West Lawn,41.7556327,-87.7369864
66,Forest Glen,Forest Glen,41.9917516,-87.751674
67,Fuller Park,Fuller Park,41.8180891,-87.6325508
68,Fulton River District,Near West Side,41.886814,-87.641335
69,Gage Park,Gage Park,41.795033,-87.6961636
70,Galewood,Austin,41.9236425,-87.7928372
71,The Gap,Douglas,41.8923566,-87.6235882
72,Garfield Ridge,Garfield Ridge,41.8036171,-87.7454886
73,Gladstone Park,Jefferson Park,41.9797793,-87.7778904
74,Gold Coast,Near North Side,41.9066994,-87.6253308
75,Golden Gate,Riverdale,42.000126,-87.772774
76,Goose Island,Near North Side,41.9039703,-87.6537475
77,Graceland West,Lake View,41.9581321,-87.6607893
78,Grand Boulevard,Grand Boulevard,41.8139226,-87.6172724
79,Grand Crossing,Greater Grand Crossing,41.75559,-87.6003258
80,Greater Grand Crossing,Greater Grand Crossing,41.7668861,-87.6208446
81,Greektown,Near West Side,41.8784447,-87.6469318
82,Gresham,Auburn Gresham,41.7363577,-87.6447189
83,Groveland Park,Douglas,41.833644,-87.6102562
84,Hamilton Park,Englewood,41.761678,-87.6373574
85,Hanson Park,Belmont Cragin,41.9208853,-87.7634092
86,Heart of Chicago,Lower West Side,41.951758,-87.7107659
87,Hegewisch,Hegewisch,41.6536462,-87.5469885
88,Hermosa,Hermosa,41.928643,-87.7345019
89,Hollywood Park,North Park,41.9894369,-87.7117823
90,Homan Square,North Lawndale,41.8685205,-87.7093986
91,Humboldt Park,Humboldt Park,41.9057668,-87.7041737
92,Hyde Park,Hyde Park,41.7942253,-87.5925622
93,Illinois Medical District,Near West Side,41.8756545,-87.6731273
94,Irving Park,Irving Park,41.953365,-87.7364471
95,Irving Woods,Dunning,41.823029,-87.681658
96,The Island,Austin,41.8755616,-87.6244212
97,Jackowo,Avondale,41.9389208,-87.711168
98,Jackson Park Highlands,South Shore,41.997267,-87.669865
99,Jefferson Park,Jefferson Park,41.9697375,-87.7631179
100,K-Town,North Lawndale,41.911918,-87.679845
101,Kelvyn Park,Hermosa,41.9293178,-87.7379677
102,Kennedy Park,Morgan Park,41.6872264,-87.6834816
103,Kensington,Roseland,41.6780901,-87.6072688
104,Kenwood,Kenwood,41.8091444,-87.5979908
105,Kilbourn Park,Irving Park,41.9450539,-87.739044
106,Kosciuszko Park,Logan Square,41.9306978,-87.7244952
107,Lake Meadows,Douglas,41.8345441,-87.6143165
108,Lake View,Lake View,41.94705,-87.6554288
109,Lake View East,Lake View,41.94705,-87.6554288
110,Lakewood / Balmoral,Edgewater,41.91982,-87.660714
111,LeClaire Courts,Garfield Ridge,41.8158657,-87.7439436
112,Legends South (Robert Taylor Homes),Grand Boulevard,41.869693,-87.644396
113,Lilydale,Roseland,41.7242009,-87.625326
114,Lincoln Park,Lincoln Park,41.9402976,-87.6381171
115,Lincoln Square,Lincoln Square,41.9759898,-87.6896163
116,Lithuanian Plaza,Chicago Lawn,41.6869288,-87.7306849
117,Little Italy,Near West Side,41.873733,-87.658413
118,Little Village,South Lawndale,41.861876,-87.647786
119,Logan Square,Logan Square,41.925221,-87.7013096
120,Longwood Manor,Washington Heights,41.6903981,-87.6721901
121,The Loop,The Loop,41.8788844,-87.6271806
122,Lower West Side,Lower West Side,41.8476197,-87.6717742
123,Loyola,Rogers Park,42.0013525,-87.6613062
124,Magnificent Mile,Near North Side,41.8945229,-87.624228
125,Margate Park,Uptown,41.972484,-87.650708
126,Marquette Park,Chicago Lawn,41.7685506,-87.7028826
127,Marshall Square,South Lawndale,41.8522013,-87.6940542
128,Marynook,Avalon Park,41.7391068,-87.5934788
129,Mayfair,Albany Park,41.9680872,-87.7378365
130,McKinley Park,McKinley Park,41.8316997,-87.6736638
131,Merchant Park,Irving Park,41.9277163,-87.706427
132,Montclare,Montclare,41.9253091,-87.8008931
133,Morgan Park,Morgan Park,41.6903117,-87.6667156
134,Mount Greenwood,Mount Greenwood,41.6980891,-87.7086616
135,Museum Campus,Near South Side,41.865611,-87.61392
136,New Eastside,The Loop,42.0329734,-88.2487996
137,Near North Side,Near North Side,41.9000327,-87.6344975
138,Near West Side,Near West Side,41.8800656,-87.6667624
139,New Chinatown,Uptown,41.8516579,-87.6331383
140,New City,New City,41.8075333,-87.6564403
141,Noble Square,West Town,41.889328,-87.662216
142,North Austin,Austin,41.8878759,-87.7648508
143,North Center,North Center,41.9561073,-87.6791596
144,North Halsted,Lake View,41.7790375,-87.6445259
145,North Kenwood,Kenwood,41.8091444,-87.5979908
146,North Lawndale,North Lawndale,41.8600324,-87.7183883
147,North Mayfair,Albany Park,41.9680872,-87.7378365
148,North Park,North Park,41.9849547,-87.7229344
149,Nortown,West Ridge,41.9105303,-87.6606108
150,Norwood Park East,Norwood Park,41.9855895,-87.8005772
151,Norwood Park West,Norwood Park,41.9855895,-87.8005772
152,Oakland,Oakland,41.8236535,-87.6082424
153,O'Hare,O'Hare,41.973101,-87.9067679
154,Old Edgebrook,Forest Glen,41.9947082,-87.7677272
155,Old Irving Park,Irving Park,41.953365,-87.7364471
156,Old Norwood,Norwood Park,41.9855895,-87.8005772
157,Old Town,Near North Side,41.904158,-87.637529
158,Old Town Triangle,Lincoln Park,41.904158,-87.637529
159,Oriole Park,Norwood Park,41.9789798,-87.8153295
160,Palmer Square,Logan Square,41.920704,-87.70219
161,Park Manor,Greater Grand Crossing,41.7697562,-87.6181046
162,Park West,Lincoln Park,41.9185326,-87.6373677
163,Parkview,Ashburn,41.9405848,-87.7232047
164,Peterson Park,West Ridge,41.9891652,-87.7204306
165,Pill Hill,Calumet Heights,41.7273953,-87.5671979
166,Pilsen,Lower West Side,41.8560101,-87.656306
167,Polish Downtown,"West Town, Logan Square",41.88531,-87.62213
168,Polish Village,"Avondale, Irving Park",41.861876,-87.647786
169,Portage Park,Portage Park,41.9578093,-87.7650594
170,Prairie Avenue Historic District,Near South Side,41.8564221,-87.6208847
171,Prairie Shores,Douglas,41.8416136,-87.616404
172,Princeton Park,Roseland,41.7262979,-87.631139
173,Printer's Row,The Loop,41.8737868,-87.6288996
174,Pulaski Park,West Town,41.9061203,-87.663305
175,Pullman,Pullman,41.704124,-87.5982987
176,Ranch Triangle,Lincoln Park,41.88531,-87.62213
177,Ravenswood,Lincoln Square,41.9655913,-87.6667239
178,Ravenswood Gardens,Lincoln Square,41.9639574,-87.695167
179,Ravenswood Manor,Albany Park,41.9646219,-87.7013797
180,River North,Near North Side,41.9466587,-87.7443379
181,River West,West Town,41.7924811,-87.7452203
182,River's Edge,North Park,41.977042,-87.735309
183,Riverdale,Riverdale,41.6658087,-87.6053444
184,Rogers Park,Rogers Park,42.0105314,-87.6707482
185,Roscoe Village,North Center,41.9434029,-87.6791415
186,Rosehill,West Ridge,41.9864564,-87.6811986
187,Roseland,Roseland,41.7019787,-87.625881
188,Rosemoor,Roseland,41.7071223,-87.6072188
