,Station,Lines,Transfers,Location,Opened,Structure,latitude,longitude
0,O'Hare,Blue,O'Hare: ATS Airport Transit System,O'Hare,"September 3, 1984[12]",Underground,41.973101,-87.9067679
1,Rosemont,Blue,—,Rosemont,"February 27, 1983[13]",Expressway median,41.9468532,-87.7947805
2,Cumberland,Blue,—,O'Hare,"February 27, 1983[13]",Expressway median,,
3,Harlem,Blue,—,Norwood Park,"February 27, 1983[13]",Expressway median,,
4,Jefferson Park,Blue,Metra: UP-NW,Jefferson Park,"February 1, 1970[14]",Expressway median,41.9697375,-87.7631179
5,Montrose,Blue,Metra: MD-N (at Mayfair),Irving Park,"February 1, 1970[14]",Expressway median,,
6,Irving Park,Blue,Metra: UP-NW (at Irving Park),Irving Park,"February 1, 1970[14]",Expressway median,41.953365,-87.7364471
7,Addison,Blue,—,Avondale / Irving Park,"February 1, 1970[14]",Expressway median,,
8,Belmont,Blue,—,Avondale,"February 1, 1970[14]",Underground,,
9,Logan Square,Blue,—,Logan Square,"May 25, 1895[15]",Underground,41.9285683,-87.7067931
10,California,Blue,—,Logan Square,"May 25, 1895",Elevated,,
11,Western,Blue,—,Logan Square,"May 25, 1895",Elevated,,
12,Damen,Blue,—,Wicker Park,"May 6, 1895[16]",Elevated,,
13,Division,Blue,—,Wicker Park / Noble Square,"February 25, 1951[17][18]",Underground,,
14,Chicago,Blue,—,West Town,"February 25, 1951[17][18]",Underground,,
15,Grand,Blue,—,West Town,"February 25, 1951[17][18]",Underground,,
16,Clark/Lake[b]  Ⓣ,Blue,Brown Green Orange Pink Purple,The Loop,"February 25, 1951[17][18]",Underground,,
17,Washington Ⓣ,Blue,Red (at Lake),The Loop,"February 25, 1951[17][18]",Underground,,
18,Monroe,Blue,—,The Loop,"February 25, 1951[17][18]",Underground,,
19,Jackson  Ⓣ,Blue,Red (at Jackson) Brown Orange  Pink Purple (at Library),The Loop,"February 25, 1951[17][18]",Underground,,
20,LaSalle,Blue,Metra: RI (at LaSalle Street),The Loop,"February 25, 1951[17][18]",Underground,,
21,Clinton,Blue,Metra: MD-N MD-W NCS BNSF HC SWS (at Union Station),Near West Side,"June 22, 1958[19][20]",Underground,,
22,UIC–Halsted,Blue,—,Greektown,"June 22, 1958[19][20]",Expressway median,,
23,Racine,Blue,—,Near West Side,"June 22, 1958[19][20]",Expressway median,,
24,Illinois Medical District,Blue,—,Near West Side,"June 22, 1958[19][20]",Expressway median,41.8689763,-87.6751024
25,Western,Blue,—,Near West Side,"June 22, 1958[19][20]",Expressway median,,
26,Kedzie–Homan,Blue,—,East Garfield Park,"June 22, 1958[19][20]",Expressway median,,
27,Pulaski,Blue,—,West Garfield Park,"June 22, 1958[19][20]",Expressway median,,
28,Cicero,Blue,—,Austin,"June 22, 1958[19][20]",Expressway median,41.8865719,-87.7451325
29,Austin,Blue,—,Oak Park,"March 20, 1960[21][22]",Expressway median,41.8878759,-87.7648508
30,Oak Park,Blue,—,Oak Park,"March 20, 1960[21][22]",Expressway median,41.8720933,-87.7915719
31,Harlem,Blue,—,Forest Park,"March 20, 1960[21][22]",Expressway median,,
32,Forest Park,Blue,—,Forest Park,"March 11, 1905[23] [c]",Elevated,41.727329,-87.616704
33,Kimball,Brown,—,Albany Park,"December 14, 1907[24]",At-grade,,
34,Kedzie,Brown,—,Albany Park,"December 14, 1907[24]",At-grade,,
35,Francisco,Brown,—,Albany Park,"December 14, 1907",At-grade,,
36,Rockwell,Brown,—,Lincoln Square,"December 14, 1907",At-grade,,
37,Western,Brown,—,Lincoln Square,"May 18, 1907[25]",Elevated,,
38,Damen,Brown,Metra: UP-N (at Ravenswood),Ravenswood,"May 18, 1907[25]",Elevated,,
39,Montrose,Brown,—,Ravenswood,"May 18, 1907[25]",Elevated,,
40,Irving Park,Brown,—,North Center,"May 18, 1907[25]",Elevated,41.953365,-87.7364471
41,Addison,Brown,—,North Center,"May 18, 1907[25]",Elevated,,
42,Paulina,Brown,—,Roscoe Village,"May 18, 1907[25]",Elevated,,
43,Southport,Brown,—,Lake View,"May 18, 1907[25]",Elevated,,
44,Belmont  Ⓣ,Brown Purple Red,—,Lake View,"May 31, 1900[5]",Elevated,,
45,Wellington,Brown Purple,—,Lake View,"May 31, 1900",Elevated,,
46,Diversey,Brown Purple,—,Lincoln Park,"June 9, 1900[26]",Elevated,,
47,Fullerton  Ⓣ,Brown Purple Red,—,Lincoln Park,"May 31, 1900[5]",Elevated,,
48,Armitage,Brown Purple,—,Lincoln Park,"June 9, 1900[26]",Elevated,,
49,Sedgwick,Brown Purple,—,Old Town,"May 31, 1900[5]",Elevated,,
50,Chicago,Brown Purple,—,Near North Side,"May 31, 1900[5]",Elevated,,
51,Merchandise Mart  Ⓣ,Brown Purple,—,Near North Side,"December 5, 1930[27]",Elevated,,
52,Washington/Wells  Ⓣ,Brown Orange Pink Purple,Metra: UP-N UP-W UP-NW (at Ogilvie),The Loop,"July 17, 1995[28]",Elevated,,
53,Quincy,Brown Orange Pink Purple,Metra: MD-N MD-W NCS BNSF HC SWS (at Union Station),The Loop,"October 3, 1897[29]",Elevated,,
54,LaSalle/Van Buren,Brown Orange Pink Purple,Metra: RI (at LaSalle Street),The Loop,"October 3, 1897[29]",Elevated,,
55,Harold Washington Library – State/Van Buren  Ⓣ,Brown Orange Pink Purple,Blue (at Jackson) Red (at Jackson) Metra: ME (at Van Buren Street)NICTD:  (at Van Buren Street),The Loop,"June 22, 1997[30]",Elevated,,
56,Adams/Wabash Ⓣ,Brown Green Orange Pink Purple,Metra: ME (at Van Buren Street)NICTD:  (at Van Buren Street),The Loop,"November 8, 1896[31]",Elevated,,
57,Washington/​Wabash,Brown Green Orange Pink Purple,Metra: ME (at Millennium Station)NICTD:  (at Millennium Station),The Loop,"August 31, 2017[32]",Elevated,,
58,State/Lake Ⓣ,Brown Green Orange Pink Purple,Red (at Lake),The Loop,"September 22, 1895[33][34]",Elevated,,
59,Clark/Lake[b]  Ⓣ,Brown Green Orange Pink Purple,Blue,The Loop,"September 22, 1895[33][34]",Elevated,,
60,Harlem/Lake,Green,Metra: UP-W (at Oak Park),Oak Park / Forest Park,"October 28, 1962[35][36]",Elevated,,
61,Oak Park,Green,—,Oak Park,"January 25, 1901",Elevated,41.8720933,-87.7915719
62,Ridgeland,Green,—,Oak Park,"January 25, 1901",Elevated,,
63,Austin,Green,—,Austin,"April 15, 1899[37]",Elevated,41.8878759,-87.7648508
64,Central,Green,—,Austin,"April 15, 1899[37]",Elevated,,
65,Laramie,Green,—,Austin,"April 23, 1894[38]",Elevated,,
66,Cicero,Green,—,Austin,"March 3, 1894[39]",Elevated,41.8865719,-87.7451325
67,Pulaski,Green,—,West Garfield Park,March 1894,Elevated,,
68,Conservatory–Central Park Drive,Green,—,East Garfield Park,"June 30, 2001[40]",Elevated,,
69,Kedzie,Green,—,East Garfield Park,"November 6, 1893[41][42]",Elevated,,
70,California,Green,—,East Garfield Park,"November 6, 1893[41]",Elevated,,
71,Ashland,Green Pink,—,Near West Side,"November 6, 1893[41][42]",Elevated,,
72,Morgan,Green Pink,—,Near West Side,"November 6, 1893[43]",Elevated,,
73,Clinton  Ⓣ,Green Pink,Metra: UP-N UP-W UP-NW (at Ogilvie),West Loop,"October 16, 1909[44]",Elevated,,
74,Roosevelt  Ⓣ,Green Orange,Red Metra: ME (at Museum Campus/11th Street)NICTD:  (at Museum Campus/11th Street),Near South Side,"June 6, 1892[3]",Elevated,,
75,Cermak–McCormick Place,Green,—,Near South Side,"June 6, 1892",Elevated,,
76,35th–Bronzeville–IIT,Green,Metra: RI (at Jones/Bronzeville),Bronzeville,"June 6, 1892[3]",Elevated,,
77,Indiana,Green,—,Grand Boulevard,"August 15, 1892[45]",Elevated,,
78,43rd,Green,—,Grand Boulevard,"August 15, 1892[45]",Elevated,,
79,47th,Green,—,Grand Boulevard,"August 15, 1892[45]",Elevated,,
80,51st,Green,—,Grand Boulevard / Washington Park,"August 28, 1892[46]",Elevated,,
81,Garfield  Ⓣ,Green,Ashland/63rd     Cottage Grove,Washington Park,"October 12, 1892[47][48]",Elevated,,
82,Halsted,Green,—,Englewood,"December 24, 1906[49]",Elevated,,
83,Ashland/63rd,Green,—,West Englewood,"May 6, 1969[50]",Elevated,,
84,King Drive,Green,—,Woodlawn,"May 1, 1893[51][52]",Elevated,,
85,Cottage Grove,Green,—,Woodlawn,"April 23, 1893[51]",Elevated,,
86,Midway,Orange,—,Garfield Ridge,"October 31, 1993[7]",At-grade,,
87,Pulaski,Orange,—,Archer Heights / West Elsdon,"October 31, 1993[7]",Elevated,,
88,Kedzie,Orange,—,Brighton Park,"October 31, 1993[53]",Elevated,,
89,Western,Orange,—,Brighton Park,"October 31, 1993[7]",Elevated,,
90,35th/Archer,Orange,—,McKinley Park,"October 31, 1993[7]",Elevated,,
